X,Y,Z
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.97,0.06
0.01,0.98,0.06
0.01,0.98,0.07
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.07
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.07
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.07
0.02,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
0.02,0.98,0.06
0.01,0.98,0.06
0.01,0.98,0.06
